thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,left,1,['left'],0.6244736659973569,0.05,2,1,test,,8,268.38072558299973,269.385926707997,270.2410472499978,271.03832854199936,272.54656783300015,2.7774696239976038,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.8584150830029103,0.05,2,1,test,,13,273.1905124579971,274.19599599999856,275.0511766669988,276.0726507499967,277.58087387499836,3.1543067910024547,,,2023-12-15_10h57.08.244,
,,right,1,['right'],1.1530869999987772,0.05,2,2,test,,10,278.37744391699744,279.3832310419966,280.2385409169983,281.5351817499977,283.0439277079968,3.2409947909982293,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.1003432079996855,0.05,2,2,test,,5,283.60726887499914,284.61151358299685,285.46629908299656,286.7417297079992,288.2516516249998,3.179278832998534,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.8919872070000565,0,3,1,test,,10,288.8054478749982,289.81064737499764,290.6666637499984,291.739415541997,296.75413174999994,6.640075291001267,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.626064124997356,0.05,3,2,test,,12,297.51083220799774,298.516120166998,299.37102420799783,300.15795629199783,301.66772283299724,2.7921589580000727,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5834669579999172,0.05,3,2,test,,10,302.30906349999714,303.3149445829986,304.1704680419971,304.89586425000016,306.40438616699976,2.5164697500003967,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5659564990019135,0.05,3,1,test,,4,306.8274406249984,307.83183070799714,308.68702524999753,309.4073352919986,310.9162765000001,2.676869416001864,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.0144574159967306,0.05,3,2,test,,4,311.51759016699725,312.52722829199774,313.38262374999977,314.5715848749969,316.0799484579984,3.2362769569990633,,,2023-12-15_10h57.08.244,
,,right,1,['right'],1.1774922910008172,0.05,4,2,test,,3,316.770898499999,317.77650012499726,318.6324583329988,319.96876795799835,321.4774151249985,3.2597354580029787,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.9900912490011251,0,4,1,test,,2,322.0140399169977,323.0196264999977,323.87511441699826,324.9898861249967,330.0056454999976,6.584026291002374,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.0066480830028013,0.05,4,1,test,,11,330.65011695799694,331.65495029199883,332.5106866669994,333.6849879579968,335.19282999999996,3.1626728330011247,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.4908726250032487,0.05,4,2,test,,1,335.8276284579988,336.83274804199755,337.68755337499897,338.33778195799823,339.84646812499705,2.595850458001223,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.5356418330011365,0,4,2,test,,11,340.4296231249973,341.43391645799784,342.28966579199914,342.97334145799687,347.98752520799826,6.334734500000195,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.6193630000016128,0.05,3,1,test,,16,348.81645941699753,349.8210787079988,350.676074125,351.4612977919969,352.96890362499835,2.5954957909998484,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.46226300000125775,0.05,3,1,test,,1,353.4112974999989,354.4166522079977,355.27118433299984,355.87508720799815,357.3857076669992,2.4323230830013927,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.0493957909966412,0.05,3,2,test,,5,357.84989366699665,358.85492041699763,359.71037254199837,360.90308062499753,362.4125419169977,3.0066269999988435,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.6325357070018072,0.05,3,2,test,,14,362.8564336669988,363.86166925,364.7171918749991,365.35815266699865,366.8693808749995,2.620565166002052,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.6090577079994546,0.05,3,2,test,,15,367.49050716700003,368.4948595829992,369.3499505829968,370.0936403329979,371.602468582998,2.546955915997387,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5587478329980513,0.05,4,2,test,,9,372.01854479199756,373.0229155829984,373.8791029169988,374.61092483299944,376.1195586249996,2.576786916000856,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.45366462499805493,0.05,4,1,test,,6,376.595814291999,377.6007032919988,378.4572506669974,379.06522137499996,380.57445308299793,2.4597391249990324,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.46128133299862384,0.05,4,1,test,,5,381.0565405419984,382.06073424999704,382.9157318749967,383.5190050829988,385.02761237499726,2.470291874000395,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5515375409995613,0.05,4,1,test,,10,385.545268124999,386.55000191699946,387.40541949999897,388.1241835419969,389.632968791997,2.5476346249997732,,,2023-12-15_10h57.08.244,
,,right,0,['left'],0.6630759159997979,0,4,1,test,,17,390.1303643329993,391.1348758749991,391.98992158299734,392.76494787499905,397.7794901669986,6.564294457999495,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.6215018319999217,0.05,5,1,test,,6,398.7252857079984,399.7299289579969,400.58499254199705,401.36015445799785,402.86971512499804,2.725488582000253,,,2023-12-15_10h57.08.244,
,,left,0,['right'],0.8112607080001908,0,5,2,test,,1,403.4509526249967,404.45516920799855,405.3100087499988,406.26351941699977,411.28194291699765,6.495373749999999,,,2023-12-15_10h57.08.244,
,,left,1,['left'],1.0673236250004265,0.05,5,2,test,,4,411.96495629199853,412.96968883299996,413.82491024999763,415.04737241699695,416.55571320799936,3.2694067080010427,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.8219709570003033,0.05,5,1,test,,11,417.2354189999969,418.2397334169982,419.0954792079974,420.0722419169979,421.5811334579994,2.7549995410008705,,,2023-12-15_10h57.08.244,
,,right,0,['left'],0.6391977080020297,0,5,1,test,,12,421.9845365000001,422.9888814579972,423.8443607499976,424.61963320799987,429.6399652079999,6.160101624998788,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.9766967079995084,0.05,4,2,test,,4,430.1708092079971,431.17553741699885,432.03123579199746,433.15574020799977,434.66394862499874,2.9777199989985093,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.6955947489987011,0.05,4,1,test,,14,435.1185543749998,436.1254713749986,436.98109808299705,437.8186003749979,439.32690241699675,2.746655416001886,,,2023-12-15_10h57.08.244,
,,right,1,['right'],0.5753017069982889,0.05,4,1,test,,5,439.8432377079989,440.84897241699946,441.7037849579974,442.4146601249995,443.9231620419996,2.658289123999566,,,2023-12-15_10h57.08.244,
,,left,1,['left'],0.5607135409991315,0.05,4,1,test,,3,444.4835763329975,445.4899114169966,446.34494574999917,447.0478443329994,448.5572178329967,2.6718871659977594,,,2023-12-15_10h57.08.244,
,,right,0,['left'],0.5090327079997223,0,4,2,test,,15,449.13255195799866,450.13813941699846,450.9948201249972,451.6594587079999,456.67240079199837,246.30511154099804,,,2023-12-15_10h57.08.244,
