thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,left,1,['left'],1.0800696240003163,0.05,3,1,test,,2,104.26633562499956,105.27094441600093,106.12605687500036,107.45468266600074,108.96574066600078,4.480139624000003,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.858031749001384,0.05,2,2,test,,9,110.61405449999984,111.61829320800098,112.47328245800054,113.57317854100074,115.08227533299942,4.763156791001165,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.7860528740002337,0.05,2,2,test,,5,117.43259041599958,118.43716854100057,119.2924430410003,120.32534775000022,121.83299812500081,6.089062708000711,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.9026380830000562,0.05,2,1,test,,7,125.59519962500053,126.60050475000025,127.45580054099992,128.61845991600057,130.1254504160006,4.659693624000283,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.7210357909989398,0.05,2,2,test,,10,132.31487912500052,133.31882874999974,134.17443891599942,135.14279395800077,136.6507228749997,4.969088415999067,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.9767779990015697,0.05,2,1,test,,9,139.33304624999982,140.33677012500084,141.19196525000007,142.38408449999952,143.89065162500083,4.6658185820015206,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.6907580820006842,0.05,3,2,test,,10,146.05025520799973,147.0547524579997,147.9099838330003,148.85450825000044,150.3607764160006,4.1236970409991045,,,2023-12-15_10h20.10.618,
,,right,0,['left'],1.5795262909996381,0,3,1,test,,15,152.2519014160007,153.2559739999997,154.1113647910006,155.93980570799977,160.95088391600075,8.459421333000137,,,2023-12-15_10h20.10.618,
,,left,1,['left'],1.1805043750009645,0.05,3,1,test,,10,162.77456712499952,163.78002991600079,164.63532733300053,165.82482758300102,167.33162987499963,4.7235402910009725,,,2023-12-15_10h20.10.618,
,,right,0,['left'],0.8320793319999211,0,3,2,test,,10,169.56239154099967,170.56774849999965,171.42285520800033,172.52694416600025,177.53706116600006,7.743160832000285,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.7464872910004487,0.05,3,2,test,,2,179.40228516599927,180.40663137500087,181.2617124999997,183.26974237499962,184.77628841600017,5.602376623999589,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.391785832000096,0.05,2,1,test,,6,187.12016483300067,188.12490683299984,188.98253666600067,190.38254037499973,191.88982304099954,4.322623124000529,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.7479022490006173,0.05,2,1,test,,5,193.5338332909996,194.53848437499983,195.393489125001,196.40672124999946,197.91684087500107,4.019911123999918,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.7211173329997109,0.05,2,1,test,,1,199.61115650000102,200.61611883300066,201.47129754100024,202.1996257080009,203.7064489580007,3.6881825830005255,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.7092163739998796,0.05,2,1,test,,17,205.38950170799944,206.39377620800042,207.24929229100053,209.20707374999984,210.71664987499935,4.799166249000336,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.9790525410007831,0.05,2,1,test,,5,212.27697920799983,213.28161408300002,214.13752791600018,215.34773945800043,216.85549895800068,3.927032624000276,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.8532902069982811,0.05,3,2,test,,5,218.07180287499978,219.07600733300023,219.93124916600027,221.0387092910005,222.54596404100084,3.953291331999935,,,2023-12-15_10h20.10.618,
,,left,1,['left'],1.507717373999185,0.05,3,1,test,,6,224.08231016600075,225.08641145799993,225.94189812500008,227.66770229100075,229.17500012500022,4.509867373999441,,,2023-12-15_10h20.10.618,
,,left,1,['left'],1.8306648330017197,0.05,3,2,test,,15,230.66297479100103,231.66766529100096,232.52312504099973,234.61623116600094,236.12326358300015,4.624549666001258,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.7218126659990958,0.05,3,2,test,,8,237.36959562499942,238.3740512910008,239.22995420799998,240.1875716249997,241.69515750000028,5.123865833000309,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.7241093749998981,0.05,3,1,test,,2,244.5683400830003,245.57228849999956,246.42790054100078,247.15814166600103,248.66531362500064,3.409128833000068,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.7769590829993831,0.05,4,1,test,,5,250.0790839580004,251.08333054099967,251.9393361250004,252.97554812499948,254.4833470829999,3.888867998999558,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.0467402489994129,0.05,4,1,test,,4,256.0453854999996,257.0495178330002,257.90519012500044,259.2007706660006,260.70811612500074,4.019004998999662,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.898831833001168,0.05,4,1,test,,2,262.1541487499999,263.1583233750007,264.0143485000008,265.14902108299975,266.6557560830006,3.748695708000014,,,2023-12-15_10h20.10.618,
